sampleID,BearID,pubname,year.sampled,year.represent,bearyear.sampled,bearyear.represent,sex,birth,age,reprostatus.represent,C13,N15,trophicpos,weight,headcirc,capturedate,Cmonth,cort.kit,cortisol
160,W9003,Jöllmyrshonan,1999,1998,W9003_1999,W9003_1998,F,1989,10,WithCubs,-22.56,4.41,2.77,104,61,4/12/1999,4,1,1.88
239,W9003,Jöllmyrshonan,2001,2000,W9003_2001,W9003_2000,F,1989,12,WithCubs,-22.58,5.1,2.97,112,62,4/18/2001,4,1,1.74
109,W9005,Keski,1992,1991,W9005_1992,W9005_1991,M,1989,3,SolitaryM,NA,NA,NA,82,60,4/4/1992,4,1,2.03
92,W9006,Koti,1994,1993,W9006_1994,W9006_1993,M,1989,5,SolitaryM,-22.22,5.49,3.09,NA,73,4/12/1994,4,1,1.56
40,W9006,Koti,1996,1995,W9006_1996,W9006_1995,M,1989,7,SolitaryM,-22.32,5.84,3.19,220,78.5,4/11/1996,4,1,1.78
123,W9006,Koti,1998,1997,W9006_1998,W9006_1997,M,1989,9,SolitaryM,-22.52,5.85,3.19,226,80,4/20/1998,4,1,2.03
216,W9006,Koti,2000,1999,W9006_2000,W9006_1999,M,1989,11,SolitaryM,-22.25,5.75,3.16,221,78,4/10/2000,4,1,1.46
265,W9006,Koti,2002,2001,W9006_2002,W9006_2001,M,1989,13,SolitaryM,-22.57,5.53,3.1,219,81,4/12/2002,4,1,4.78
93,W9007,Rassakuhonan,1994,1993,W9007_1994,W9007_1993,F,1986,8,WithCubs,NA,NA,NA,81,59,4/15/1994,4,1,2.59
266,W9007,Rassakuhonan,2002,2001,W9007_2002,W9007_2001,F,1986,16,WithCubs,-22.55,4.25,2.72,90,62,4/18/2002,4,1,3.86
367,W9007,Rassakuhonan,2004,2003,W9007_2004,W9007_2003,F,1986,18,WithCubs,-22.67,4.19,2.7,98,62,4/14/2004,4,1,2.75
121,W9008,Rensjöhonan,1990,1989,W9008_1990,W9008_1989,F,1986,4,NA,NA,NA,NA,76,55,4/13/1990,4,1,2.03
41,W9008,Rensjöhonan,1996,1995,W9008_1996,W9008_1995,F,1986,10,WithCubs,-23.01,3.26,2.43,95,60,4/20/1996,4,1,3.06
124,W9008,Rensjöhonan,1998,1997,W9008_1998,W9008_1997,F,1986,12,WithCubs,-22.96,3.92,2.62,102,62,4/15/1998,4,1,2.03
